No,Track Name,Artist Name,Album Name
100,How Do You Sleep?,Sam Smith,How Do You Sleep?
101,Good Things Fall Apart (with Jon Bellion),ILLENIUM,ASCEND
102,Takeaway,The Chainsmokers,World War Joy
103,The Middle,Zedd,The Middle
104,Beautiful Now,Zedd,True Colors
105,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans
106,Strongest (Alan Walker Remix),Ina Wroldsen,Strongest (Alan Walker Remix)
107,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello),Pitbull,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello)
108,Rain Over Me (feat. Marc Anthony),Pitbull,Planet Pit (Deluxe Version)
109,You & Me,James TW,Chapters
110,Please Don't Go,Joel Adams,Please Don't Go
111,Waiting For Love,Avicii,Stories
112,Falling,Trevor Daniel,Nicotine
113,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
114,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
115,On The Floor,Jennifer Lopez,Love?
116,comethru,Jeremy Zucker,"summer,"
117,If the World Was Ending (feat. Julia Michaels),JP Saxe,If the World Was Ending (feat. Julia Michaels)
118,What A Time (feat. Niall Horan),Julia Michaels,Inner Monologue Part 1
119,Just So You Know,Jesse McCartney,Right Where You Want Me
120,Cake By The Ocean,DNCE,Feel Good Music
121,Middle Of The Night,The Vamps,Night & Day (Night Edition)
122,All The Lies,Alok,All The Lies
123,Rumors (feat. ZAYN),Sabrina Claudio,Truth Is
124,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
125,Harleys In Hawaii,Katy Perry,Harleys In Hawaii
126,Suncity (feat. Empress Of),Khalid,Suncity
127,Out of Love,Koni,Out of Love
128,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,Nine Track Mind
129,Familiar,Liam Payne,Familiar
130,Earth,Lil Dicky,Earth
131,Rude,MAGIC!,Don't Kill the Magic
132,All My Friends,Madeon,All My Friends
133,Find U Again (feat. Camila Cabello),Mark Ronson,Find U Again (feat. Camila Cabello)
134,Corazón (feat. Nego do Borel),Maluma,F.A.M.E.
135,It Was Always You,Maroon 5,V (Asia Tour Edition)
136,Cold (feat. Future),Maroon 5,Red Pill Blues (Deluxe)
137,Happier,Marshmello,Happier
138,In the Name of Love,Martin Garrix,In the Name of Love
139,High On Life (feat. Bonn),Martin Garrix,High On Life (feat. Bonn)
140,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
141,These Are The Times (feat. JRM),Martin Garrix,These Are The Times (feat. JRM)
142,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,So Far Away (feat. Jamie Scott & Romy Dya)
143,There for You,Martin Garrix,There for You
144,Now That I've Found You (feat. John & Michel),Martin Garrix,Now That I've Found You (feat. John & Michel)
145,Turn up the Speakers - Radio Edit,AFROJACK,Turn up the Speakers
146,Waiting For Tomorrow (feat. Mike Shinoda),Martin Garrix,BYLAW EP
147,Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives (International Version)
148,WHO DO U LOVE?,MONSTA X,WHO DO U LOVE?
149,High Hopes,Panic! At The Disco,Pray for the Wicked
150,Calma - Alan Walker Remix,Pedro Capó,Calma (Alan Walker Remix)
151,Cold Water,Major Lazer,Hot Summer Pop
152,Traicionera,Sebastian Yatra,Traicionera
153,We Own It (Fast & Furious),2 Chainz,Fast & Furious 6
154,Different World (feat. CORSAK),Alan Walker,Different World
155,I Luv U (with R3HAB),Sofia Carson,I Luv U (with R3HAB)
156,Seasons,AfterSound,Seasons
157,Why,Sabrina Carpenter,Why
158,Post Malone (feat. RANI),Sam Feldt,Magnets EP
159,Ritual,Tiësto,Ritual
160,We Found Love,Rihanna,Talk That Talk
161,Fight Song,Rachel Platten,Wildfire
162,No Lie,Sean Paul,Mad Love The Prequel
163,ROXANNE,Arizona Zervas,ROXANNE
164,Favorite Part Of Me - R3HAB Remix,Astrid S,Favorite Part Of Me (R3HAB Remix)
165,Tobacco and Tears,Chelsea Collins,Tobacco and Tears
166,Don't Call Me Up,Mabel,Ivy To Roses (Mixtape)
167,Say So,Doja Cat,Hot Pink
168,The Bones,Maren Morris,GIRL
169,Make You Mine,PUBLIC,Make You Mine
170,I Want It That Way,Backstreet Boys,Millennium
171,me & ur ghost,blackbear,me & ur ghost
172,More Than OK (with Clara Mae),R3HAB,More Than OK (with Clara Mae)
173,Good For You,Peder Elias,Good For You
174,No Promises (feat. Demi Lovato),Cheat Codes,No Promises (feat. Demi Lovato)
175,You Are The Reason,Calum Scott,Only Human (Deluxe)
176,All That We Could Have Been,Alex Sampson,All That We Could Have Been
177,FRIENDS,Marshmello,FRIENDS
178,Best Day Of My Life,American Authors,"Oh, What A Life"
179,Call Me a Spaceman - Radio Edit,Hardwell,Call Me a Spaceman
180,Over and Out (feat. Charlott Boss),KSHMR,Over and Out (feat. Charlott Boss)
181,Supposed to Be,Sangarang,Supposed to Be
182,Stargazing,Kygo,Stargazing - EP
183,Heal Me,Grace Carter,Heal Me
184,Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe)
185,Dead Man Walking,Jeremy Camp,The Story's Not Over
186,El Tejano (feat. Sofía Reyes),Lauv,~how i'm feeling~
187,First Christmas (That I Loved You) - From The Netflix Film Let It Snow,Shameik Moore,First Christmas (That I Loved You) [From The Netflix Film Let It Snow]
188,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,I
189,Sway With Me (with GALXARA),Saweetie,Sway With Me (with GALXARA)
190,Stranger Things (feat. OneRepublic) - Alan Walker Remix,Kygo,Kids in Love (Remixes)
191,2002,Anne-Marie,2002
192,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,MARINA,To All The Boys: P.S. I Still Love You (Music From The Netflix Film)
193,mama's house,push baby,mama's house
194,Favorite T-Shirt,Jake Scott,Year of the Sunflower
195,Take This Home,Roadtrip,Take This Home
196,Backwards,Alexander Stewart,Backwards
197,In Betweenin',AUSTN,In Betweenin'
198,death bed (coffee for your head),Powfu,death bed (coffee for your head)
199,Head in Her Heart,Nico Collins,Head in Her Heart
200,Angel of the Morning - 2006 Remaster,Pretenders,Pirate Radio
201,Know You,Lone Laveer,Know You
202,La Da Dee,Cody Simpson,Surfers Paradise (Expanded)
203,Lalala,Y2K,Lalala
204,Favorite Part Of Me,Astrid S,Down Low
205,OCEAN AWAY,Jake Miller,SUMMER 19
206,Alone in My Car,NIKI DEMAR,Alone in My Car
207,Believers,Chase Fickett,When the Sky Is Falling
208,Zombie,Bad Wolves,Disobey
209,"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon
210,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition)
211,Fireflies,Owl City,Ocean Eyes
212,Dynamite,BTS,Dynamite
213,Drift,Lux South,Drift
214,Turn Up,MgO Music,Turn Up
